jaar,gemeentenaam,code
2013,Aa en Hunze,1680
2013,Aalburg,0738
2013,Aalsmeer,0358
2013,Aalten,0197
2013,Achtkarspelen,0059
2013,Alblasserdam,0482
2013,Albrandswaard,0613
2013,Alkmaar,0361
2013,Almelo,0141
2013,Almere,0034
2013,Alphen aan den Rijn,0484
2013,Alphen-Chaam,1723
2013,Ameland,0060
2013,Amersfoort,0307
2013,Amstelveen,0362
2013,Amsterdam,0363
2013,Apeldoorn,0200
2013,Appingedam,0003
2013,Arnhem,0202
2013,Assen,0106
2013,Asten,0743
2013,Baarle-Nassau,0744
2013,Baarn,0308
2013,Barendrecht,0489
2013,Barneveld,0203
2013,Bedum,0005
2013,Beek,0888
2013,Beemster,0370
2013,Beesel,0889
2013,Bellingwedde,0007
2013,Bergambacht,0491
2013,Bergeijk,1724
2013,Bergen (L.),0893
2013,Bergen (NH.),0373
2013,Bergen op Zoom,0748
2013,Berkelland,1859
2013,Bernheze,1721
2013,Bernisse,0568
2013,Best,0753
2013,Beuningen,0209
2013,Beverwijk,0375
2013,het Bildt,0063
2013,De Bilt,0310
2013,Binnenmaas,0585
2013,Bladel,1728
2013,Blaricum,0376
2013,Bloemendaal,0377
2013,Boarnsterhim,0055
2013,Bodegraven-Reeuwijk,1901
2013,Boekel,0755
2013,Ten Boer,0009
2013,Borger-Odoorn,1681
2013,Borne,0147
2013,Borsele,0654
2013,Boskoop,0499
2013,Boxmeer,0756
2013,Boxtel,0757
2013,Breda,0758
2013,Brielle,0501
2013,Bronckhorst,1876
2013,Brummen,0213
2013,Brunssum,0899
2013,Bunnik,0312
2013,Bunschoten,0313
2013,Buren,0214
2013,Bussum,0381
2013,Capelle aan den IJssel,0502
2013,Castricum,0383
2013,Coevorden,0109
2013,Cranendonck,1706
2013,Cromstrijen,0611
2013,Cuijk,1684
2013,Culemborg,0216
2013,Dalfsen,0148
2013,Dantumadiel,1891
2013,Delft,0503
2013,Delfzijl,0010
2013,Deurne,0762
2013,Deventer,0150
2013,Diemen,0384
2013,Dinkelland,1774
2013,Doesburg,0221
2013,Doetinchem,0222
2013,Dongen,0766
2013,Dongeradeel,0058
2013,Dordrecht,0505
2013,Drechterland,0498
2013,Drimmelen,1719
2013,Dronten,0303
2013,Druten,0225
2013,Duiven,0226
2013,Echt-Susteren,1711
2013,Edam-Volendam,0385
2013,Ede,0228
2013,Eemnes,0317
2013,Eemsmond,1651
2013,Eersel,0770
2013,Eijsden-Margraten,1903
2013,Eindhoven,0772
2013,Elburg,0230
2013,Emmen,0114
2013,Enkhuizen,0388
2013,Enschede,0153
2013,Epe,0232
2013,Ermelo,0233
2013,Etten-Leur,0777
2013,Ferwerderadiel,1722
2013,Franekeradeel,0070
2013,Gaasterl‚n-Sleat,0653
2013,Geertruidenberg,0779
2013,Geldermalsen,0236
2013,Geldrop-Mierlo,1771
2013,Gemert-Bakel,1652
2013,Gennep,0907
2013,Giessenlanden,0689
2013,Gilze en Rijen,0784
2013,Goeree-Overflakkee,1924
2013,Goes,0664
2013,Goirle,0785
2013,Gorinchem,0512
2013,Gouda,0513
2013,Graft-De Rijp,0365
2013,Grave,0786
2013,s-Gravenhage,0518
2013,Groesbeek,0241
2013,Groningen,0014
2013,Grootegast,0015
2013,Gulpen-Wittem,1729
2013,Haaksbergen,0158
2013,Haaren,0788
2013,Haarlem,0392
2013,Haarlemmerliede en Spaarnwoude,0393
2013,Haarlemmermeer,0394
2013,Halderberge,1655
2013,Hardenberg,0160
2013,Harderwijk,0243
2013,Hardinxveld-Giessendam,0523
2013,Haren,0017
2013,Harlingen,0072
2013,Hattem,0244
2013,Heemskerk,0396
2013,Heemstede,0397
2013,Heerde,0246
2013,Heerenveen,0074
2013,Heerhugowaard,0398
2013,Heerlen,0917
2013,Heeze-Leende,1658
2013,Heiloo,0399
2013,Den Helder,0400
2013,Hellendoorn,0163
2013,Hellevoetsluis,0530
2013,Helmond,0794
2013,Hendrik-Ido-Ambacht,0531
2013,Hengelo,0164
2013,s-Hertogenbosch,0796
2013,Heumen,0252
2013,Heusden,0797
2013,Hillegom,0534
2013,Hilvarenbeek,0798
2013,Hilversum,0402
2013,Hof van Twente,1735
2013,Hollands Kroon,1911
2013,Hoogeveen,0118
2013,Hoogezand-Sappemeer,0018
2013,Hoorn,0405
2013,Horst aan de Maas,1507
2013,Houten,0321
2013,Huizen,0406
2013,Hulst,0677
2013,IJsselstein,0353
2013,Kaag en Braassem,1884
2013,Kampen,0166
2013,Kapelle,0678
2013,Katwijk,0537
2013,Kerkrade,0928
2013,Koggenland,1598
2013,Kollumerland en Nieuwkruisland,0079
2013,Korendijk,0588
2013,Krimpen aan den IJssel,0542
2013,Laarbeek,1659
2013,Landerd,1685
2013,Landgraaf,0882
2013,Landsmeer,0415
2013,Langedijk,0416
2013,Lansingerland,1621
2013,Laren,0417
2013,Leek,0022
2013,Leerdam,0545
2013,Leeuwarden,0080
2013,Leeuwarderadeel,0081
2013,Leiden,0546
2013,Leiderdorp,0547
2013,Leidschendam-Voorburg,1916
2013,Lelystad,0995
2013,Lemsterland,0082
2013,Leudal,1640
2013,Leusden,0327
2013,Lingewaal,0733
2013,Lingewaard,1705
2013,Lisse,0553
2013,Littenseradiel,0140
2013,Lochem,0262
2013,Loon op Zand,0809
2013,Lopik,0331
2013,Loppersum,0024
2013,Losser,0168
2013,Maasdonk,1671
2013,Maasdriel,0263
2013,Maasgouw,1641
2013,Maassluis,0556
2013,Maastricht,0935
2013,De Marne,1663
2013,Marum,0025
2013,Medemblik,0420
2013,Meerssen,0938
2013,Menameradiel,1908
2013,Menterwolde,1987
2013,Meppel,0119
2013,Middelburg,0687
2013,Midden-Delfland,1842
2013,Midden-Drenthe,1731
2013,Mill en Sint Hubert,0815
2013,Millingen aan de Rijn,0265
2013,Moerdijk,1709
2013,Molenwaard,1927
2013,Montferland,1955
2013,Montfoort,0335
2013,Mook en Middelaar,0944
2013,Muiden,0424
2013,Naarden,0425
2013,Neder-Betuwe,1740
2013,Nederlek,0643
2013,Nederweert,0946
2013,Neerijnen,0304
2013,Nieuwegein,0356
2013,Nieuwkoop,0569
2013,Nijkerk,0267
2013,Nijmegen,0268
2013,Noord-Beveland,1695
2013,Noordenveld,1699
2013,Noordoostpolder,0171
2013,Noordwijk,0575
2013,Noordwijkerhout,0576
2013,"Nuenen, Gerwen en Nederwetten",0820
2013,Nunspeet,0302
2013,Nuth,0951
2013,Oegstgeest,0579
2013,Oirschot,0823
2013,Oisterwijk,0824
2013,Oldambt,1895
2013,Oldebroek,0269
2013,Oldenzaal,0173
2013,Olst-Wijhe,1773
2013,Ommen,0175
2013,Onderbanken,0881
2013,Oost Gelre,1586
2013,Oosterhout,0826
2013,Ooststellingwerf,0085
2013,Oostzaan,0431
2013,Opmeer,0432
2013,Opsterland,0086
2013,Oss,0828
2013,Oud-Beijerland,0584
