new_gemeente,aantal_leerlingen_2013,aantal_leerlingen_2023,aantal_leerlingen_so_2013,aantal_leerlingen_so_2023,perc_difference_so,perc_so_2013,perc_so_2023,difference_perc_points
Aa en Hunze,2170,1790,90,70,-22.22,4.15,3.91,-0.24
Aalsmeer,3340,2640,100,110,10.0,2.99,4.17,1.18
Aalten,2530,2010,130,70,-46.15,5.14,3.48,-1.66
Achtkarspelen,2820,2300,180,140,-22.22,6.38,6.09,-0.29
Alblasserdam,2090,1920,80,70,-12.5,3.83,3.65,-0.18
Albrandswaard,2670,2310,70,80,14.29,2.62,3.46,0.84
Alkmaar,8990,8270,350,430,22.86,3.89,5.2,1.31
Almelo,6750,5350,500,460,-8.0,7.41,8.6,1.19
Almere,20730,20250,960,1010,5.21,4.63,4.99,0.36
Alphen aan den Rijn,10000,9120,350,350,0.0,3.5,3.84,0.34
Alphen-Chaam,830,770,30,20,-33.33,3.61,2.6,-1.01
Altena,5420,4950,200,180,-10.0,3.69,3.64,-0.05
Ameland,360,280,0,0,,0.0,0.0,0.0
Amersfoort,15800,13370,930,800,-13.98,5.89,5.98,0.09
Amstelveen,6810,7950,270,280,3.7,3.96,3.52,-0.44
Amsterdam,62830,58470,2490,2640,6.02,3.96,4.52,0.56
Apeldoorn,13860,12650,660,640,-3.03,4.76,5.06,0.3
Arnhem,12640,12200,770,770,0.0,6.09,6.31,0.22
Assen,6520,5060,350,330,-5.71,5.37,6.52,1.15
Asten,1520,1210,70,50,-28.57,4.61,4.13,-0.48
Baarle-Nassau,400,410,10,20,100.0,2.5,4.88,2.38
Baarn,2120,2020,100,90,-10.0,4.72,4.46,-0.26
Barendrecht,5360,4300,170,140,-17.65,3.17,3.26,0.09
Barneveld,6060,6770,290,340,17.24,4.79,5.02,0.23
Beek (L.),1110,1030,50,50,0.0,4.5,4.85,0.35
Beekdaelen,2620,2410,150,120,-20.0,5.73,4.98,-0.75
Beesel,1160,880,70,80,14.29,6.03,9.09,3.06
Berg en Dal,4040,4600,240,240,0.0,5.94,5.22,-0.72
Bergeijk,1580,1300,80,70,-12.5,5.06,5.38,0.32
Bergen (L.),1020,840,70,60,-14.29,6.86,7.14,0.28
Bergen (NH.),2190,1660,60,30,-50.0,2.74,1.81,-0.93
Bergen op Zoom,5330,5150,240,270,12.5,4.5,5.24,0.74
Berkelland,4020,2780,180,150,-16.67,4.48,5.4,0.92
Bernheze,2910,2450,100,120,20.0,3.44,4.9,1.46
Best,2750,2290,80,90,12.5,2.91,3.93,1.02
Beuningen,2160,2020,150,140,-6.67,6.94,6.93,-0.01
Beverwijk,3610,3320,130,170,30.77,3.6,5.12,1.52
Bladel,1800,1540,60,70,16.67,3.33,4.55,1.22
Blaricum,810,1420,20,50,150.0,2.47,3.52,1.05
Bloemendaal,2160,2170,50,60,20.0,2.31,2.76,0.45
Bodegraven-Reeuwijk,3260,3210,130,100,-23.08,3.99,3.12,-0.87
Boekel,1030,830,40,50,25.0,3.88,6.02,2.14
Borger-Odoorn,2080,1820,80,80,0.0,3.85,4.4,0.55
Borne,2100,2170,120,130,8.33,5.71,5.99,0.28
Borsele,2170,1900,120,120,0.0,5.53,6.32,0.79
Boxtel,4030,2400,230,70,-69.57,5.71,2.92,-2.79
Breda,15390,13790,660,640,-3.03,4.29,4.64,0.35
Bronckhorst,3270,2260,130,70,-46.15,3.98,3.1,-0.88
Brummen,1720,1440,90,50,-44.44,5.23,3.47,-1.76
Brunssum,2070,1720,130,120,-7.69,6.28,6.98,0.7
Bunnik,1510,1520,50,50,0.0,3.31,3.29,-0.02
Bunschoten,2120,2130,100,80,-20.0,4.72,3.76,-0.96
Buren,2400,2040,90,110,22.22,3.75,5.39,1.64
Capelle aan den IJssel,5590,5370,340,310,-8.82,6.08,5.77,-0.31
Castricum,2910,2790,70,50,-28.57,2.41,1.79,-0.62
Coevorden,3230,2520,100,80,-20.0,3.1,3.17,0.07
Cranendonck,1530,1410,60,60,0.0,3.92,4.26,0.34
Culemborg,2750,2450,130,120,-7.69,4.73,4.9,0.17
Dalfsen,2800,2560,110,120,9.09,3.93,4.69,0.76
Dantumadiel,1760,1600,80,70,-12.5,4.55,4.38,-0.17
De Bilt,3930,3950,120,140,16.67,3.05,3.54,0.49
De Fryske Marren,4970,3920,160,170,6.25,3.22,4.34,1.12
De Ronde Venen,4030,3580,90,190,111.11,2.23,5.31,3.08
De Wolden,2130,1930,60,80,33.33,2.82,4.15,1.33
Delft,6300,6680,290,330,13.79,4.6,4.94,0.34
Den Bosch,13210,11950,490,450,-8.16,3.71,3.77,0.06
Den Haag,45270,43960,1960,2340,19.39,4.33,5.32,0.99
Den Helder,4460,3970,190,230,21.05,4.26,5.79,1.53
Deurne,2530,2510,140,150,7.14,5.53,5.98,0.45
Deventer,9200,7750,460,390,-15.22,5.0,5.03,0.03
Diemen,1970,2510,60,70,16.67,3.05,2.79,-0.26
Dijk en Waard,8140,7620,280,340,21.43,3.44,4.46,1.02
Dinkelland,2640,1900,80,90,12.5,3.03,4.74,1.71
Doesburg,910,600,60,70,16.67,6.59,11.67,5.08
Doetinchem,4930,4450,320,250,-21.88,6.49,5.62,-0.87
Dongen,2220,2020,120,100,-16.67,5.41,4.95,-0.46
Dordrecht,10140,9200,490,570,16.33,4.83,6.2,1.37
Drechterland,1770,1620,70,60,-14.29,3.95,3.7,-0.25
Drimmelen,2180,1930,110,110,0.0,5.05,5.7,0.65
Dronten,3900,3450,260,170,-34.62,6.67,4.93,-1.74
Druten,1750,1390,90,60,-33.33,5.14,4.32,-0.82
Duiven,2310,1710,100,90,-10.0,4.33,5.26,0.93
Echt-Susteren,2200,1860,120,160,33.33,5.45,8.6,3.15
Edam-Volendam,3510,2790,150,130,-13.33,4.27,4.66,0.39
Ede,10850,10910,500,520,4.0,4.61,4.77,0.16
Eemnes,900,790,40,40,0.0,4.44,5.06,0.62
Eemsdelta,3860,3060,180,180,0.0,4.66,5.88,1.22
Eersel,1480,1570,50,60,20.0,3.38,3.82,0.44
Eijsden-Margraten,1730,1910,90,80,-11.11,5.2,4.19,-1.01
Eindhoven,16940,16580,910,1000,9.89,5.37,6.03,0.66
Elburg,2260,2160,110,100,-9.09,4.87,4.63,-0.24
Emmen,9240,7510,370,390,5.41,4.0,5.19,1.19
Enkhuizen,1570,1420,80,70,-12.5,5.1,4.93,-0.17
Enschede,12800,11170,870,860,-1.15,6.8,7.7,0.9
Epe,2660,2450,130,110,-15.38,4.89,4.49,-0.4
Ermelo,2100,2170,100,90,-10.0,4.76,4.15,-0.61
Etten-Leur,3920,3430,230,260,13.04,5.87,7.58,1.71
Geertruidenberg,1900,1610,90,90,0.0,4.74,5.59,0.85
Geldrop-Mierlo,3350,3020,210,220,4.76,6.27,7.28,1.01
Gemert-Bakel,2600,2530,120,160,33.33,4.62,6.32,1.7
Gennep,1440,1160,100,80,-20.0,6.94,6.9,-0.04
Gilze en Rijen,2400,2090,110,100,-9.09,4.58,4.78,0.2
Goeree-Overflakkee,4510,4090,210,190,-9.52,4.66,4.65,-0.01
Goes,2870,2780,160,180,12.5,5.57,6.47,0.9
Goirle,2050,2030,90,80,-11.11,4.39,3.94,-0.45
Gooise Meren,6120,5840,140,190,35.71,2.29,3.25,0.96
Gorinchem,3160,3110,120,80,-33.33,3.8,2.57,-1.23
Gouda,6630,5770,330,280,-15.15,4.98,4.85,-0.13
Groningen,14490,13900,690,750,8.7,4.76,5.4,0.64
Gulpen-Wittem,850,790,70,40,-42.86,8.24,5.06,-3.18
Haaksbergen,2270,1730,100,70,-30.0,4.41,4.05,-0.36
Haarlem,13300,13840,590,590,0.0,4.44,4.26,-0.18
Haarlemmermeer,15820,12970,610,740,21.31,3.86,5.71,1.85
Halderberge,2380,2300,120,100,-16.67,5.04,4.35,-0.69
Hardenberg,6090,5320,250,250,0.0,4.11,4.7,0.59
Harderwijk,4480,4190,240,240,0.0,5.36,5.73,0.37
Hardinxveld-Giessendam,1880,1790,60,60,0.0,3.19,3.35,0.16
Harlingen,1340,1120,90,90,0.0,6.72,8.04,1.32
Hattem,1160,1110,60,50,-16.67,5.17,4.5,-0.67
Heemskerk,3270,2880,130,120,-7.69,3.98,4.17,0.19
Heemstede,2690,2680,60,60,0.0,2.23,2.24,0.01
Heerde,1640,1470,50,70,40.0,3.05,4.76,1.71
Heerenveen,3884,3980,132,180,35.75,3.41,4.52,1.11
Heerlen,5760,5450,520,600,15.38,9.03,11.01,1.98
Heeze-Leende,1290,1200,60,50,-16.67,4.65,4.17,-0.48
Heiloo,2100,1780,40,30,-25.0,1.9,1.69,-0.21
Hellendoorn,3520,2760,180,140,-22.22,5.11,5.07,-0.04
Helmond,8800,7360,510,480,-5.88,5.8,6.52,0.72
Hendrik-Ido-Ambacht,3130,3420,120,140,16.67,3.83,4.09,0.26
Hengelo (O.),7330,5610,540,370,-31.48,7.37,6.6,-0.77
Het Hogeland,4630,3640,220,180,-18.18,4.75,4.95,0.2
Heumen,1440,1220,80,60,-25.0,5.56,4.92,-0.64
Heusden,3850,3560,150,150,0.0,3.9,4.21,0.31
Hillegom,1820,1690,100,80,-20.0,5.49,4.73,-0.76
Hilvarenbeek,1420,1160,40,40,0.0,2.82,3.45,0.63
Hilversum,7680,7910,380,440,15.79,4.95,5.56,0.61
Hoeksche Waard,7620,7070,300,270,-10.0,3.94,3.82,-0.12
Hof van Twente,3210,2460,140,90,-35.71,4.36,3.66,-0.7
Hollands Kroon,4510,3650,140,140,0.0,3.1,3.84,0.74
Hoogeveen,5120,4320,260,220,-15.38,5.08,5.09,0.01
Hoorn,6480,5980,370,270,-27.03,5.71,4.52,-1.19
Horst aan de Maas,3680,2940,160,130,-18.75,4.35,4.42,0.07
Houten,5670,4490,240,150,-37.5,4.23,3.34,-0.89
Huizen,3700,3100,180,190,5.56,4.86,6.13,1.27
Hulst,1900,1580,80,70,-12.5,4.21,4.43,0.22
IJsselstein,3650,2500,180,140,-22.22,4.93,5.6,0.67
Kaag en Braassem,2370,2290,70,70,0.0,2.95,3.06,0.11
Kampen,5420,5260,320,250,-21.88,5.9,4.75,-1.15
Kapelle,1320,1110,60,70,16.67,4.55,6.31,1.76
Katwijk,6370,6030,360,330,-8.33,5.65,5.47,-0.18
Kerkrade,2910,2680,230,270,17.39,7.9,10.07,2.17
Koggenland,2200,1870,90,70,-22.22,4.09,3.74,-0.35
Krimpen aan den IJssel,2750,2590,150,160,6.67,5.45,6.18,0.73
Krimpenerwaard,5030,4790,180,180,0.0,3.58,3.76,0.18
Laarbeek,1990,1640,90,80,-11.11,4.52,4.88,0.36
Land van Cuijk,7670,6250,380,330,-13.16,4.95,5.28,0.33
Landgraaf,2520,2320,190,190,0.0,7.54,8.19,0.65
Landsmeer,900,1090,30,30,0.0,3.33,2.75,-0.58
Lansingerland,6910,6890,180,210,16.67,2.6,3.05,0.45
Laren (NH.),970,900,20,30,50.0,2.06,3.33,1.27
Leeuwarden,15820,18340,920,1100,19.57,5.82,6.0,0.18
Leiden,8520,7740,370,380,2.7,4.34,4.91,0.57
Leiderdorp,2380,2220,80,90,12.5,3.36,4.05,0.69
Leidschendam-Voorburg,5930,6220,220,240,9.09,3.71,3.86,0.15
Lelystad,7710,7210,500,320,-36.0,6.49,4.44,-2.05
Leudal,2760,2070,220,180,-18.18,7.97,8.7,0.73
Leusden,2780,2600,90,100,11.11,3.24,3.85,0.61
Lingewaard,4450,3540,210,200,-4.76,4.72,5.65,0.93
Lisse,2010,1700,70,90,28.57,3.48,5.29,1.81
Lochem,2880,2330,80,90,12.5,2.78,3.86,1.08
Loon op Zand,1970,1780,100,90,-10.0,5.08,5.06,-0.02
Lopik,1500,1250,90,70,-22.22,6.0,5.6,-0.4
Losser,2050,1720,120,110,-8.33,5.85,6.4,0.55
Maasdriel,2290,2050,100,70,-30.0,4.37,3.41,-0.96
Maasgouw,1580,1400,100,90,-10.0,6.33,6.43,0.1
Maashorst,5110,4540,300,220,-26.67,5.87,4.85,-1.02
Maassluis,2710,2960,130,160,23.08,4.8,5.41,0.61
Maastricht,6430,5990,580,440,-24.14,9.02,7.35,-1.67
Medemblik,4130,3500,180,170,-5.56,4.36,4.86,0.5
Meerssen,1450,1160,70,50,-28.57,4.83,4.31,-0.52
Meierijstad,6950,6370,410,290,-29.27,5.9,4.55,-1.35
Meppel,3230,2660,160,150,-6.25,4.95,5.64,0.69
Middelburg (Z.),4120,3930,190,180,-5.26,4.61,4.58,-0.03
Midden-Delfland,1780,1710,40,40,0.0,2.25,2.34,0.09
Midden-Drenthe,2970,2370,90,100,11.11,3.03,4.22,1.19
Midden-Groningen,5360,4340,250,290,16.0,4.66,6.68,2.02
Moerdijk,3240,2650,200,180,-10.0,6.17,6.79,0.62
Molenlanden,4740,4150,160,90,-43.75,3.38,2.17,-1.21
Montferland,2850,2460,190,140,-26.32,6.67,5.69,-0.98
Montfoort,1480,1180,50,40,-20.0,3.38,3.39,0.01
Mook en Middelaar,670,450,30,20,-33.33,4.48,4.44,-0.04
Neder-Betuwe,2530,2710,140,130,-7.14,5.53,4.8,-0.73
Nederweert,1280,1210,70,50,-28.57,5.47,4.13,-1.34
Nieuwegein,4990,4990,350,290,-17.14,7.01,5.81,-1.2
Nieuwkoop,2500,2290,70,60,-14.29,2.8,2.62,-0.18
Nijkerk,4200,4030,200,240,20.0,4.76,5.96,1.2
Nijmegen,11670,12070,790,710,-10.13,6.77,5.88,-0.89
Nissewaard,6800,6970,400,390,-2.5,5.88,5.6,-0.28
Noardeast-Fryslân,4400,3720,250,200,-20.0,5.68,5.38,-0.3
Noord-Beveland,550,470,20,20,0.0,3.64,4.26,0.62
Noordenveld,2720,2260,90,100,11.11,3.31,4.42,1.11
Noordoostpolder,4820,4440,260,190,-26.92,5.39,4.28,-1.11
Noordwijk,3390,3350,130,140,7.69,3.83,4.18,0.35
"Nuenen, Gerwen en Nederwetten",1880,1980,60,60,0.0,3.19,3.03,-0.16
Nunspeet,2700,2740,140,110,-21.43,5.19,4.01,-1.18
Oegstgeest,2250,2460,60,60,0.0,2.67,2.44,-0.23
Oirschot,1590,1340,30,50,66.67,1.89,3.73,1.84
Oisterwijk,3400,2290,160,110,-31.25,4.71,4.8,0.09
Oldambt,3090,2500,170,210,23.53,5.5,8.4,2.9
Oldebroek,2300,2230,100,110,10.0,4.35,4.93,0.58
Oldenzaal,3080,2310,150,130,-13.33,4.87,5.63,0.76
