new_gemeente,aantal_leerlingen_2013,aantal_leerlingen_2023,aantal_leerlingen_vso_2013,aantal_leerlingen_vso_2023,perc_difference_so,perc_vso_2013,perc_vso_2023,difference_perc_points
Aa en Hunze,1620,1290,50,40,-20.0,3.09,3.1,0.01
Aalsmeer,1890,2220,40,60,50.0,2.12,2.7,0.58
Aalten,1660,1490,70,60,-14.29,4.22,4.03,-0.19
Achtkarspelen,1730,1650,60,100,66.67,3.47,6.06,2.59
Alblasserdam,1260,1200,30,30,0.0,2.38,2.5,0.12
Albrandswaard,1550,1720,30,60,100.0,1.94,3.49,1.55
Alkmaar,5760,5740,190,230,21.05,3.3,4.01,0.71
Almelo,4340,3880,350,360,2.86,8.06,9.28,1.22
Almere,13100,13190,610,670,9.84,4.66,5.08,0.42
Alphen aan den Rijn,6770,6360,300,260,-13.33,4.43,4.09,-0.34
Alphen-Chaam,570,540,30,30,0.0,5.26,5.56,0.3
Altena,3470,3330,80,100,25.0,2.31,3.0,0.69
Ameland,220,190,10,0,-100.0,4.55,0.0,-4.55
Amersfoort,9710,10240,340,360,5.88,3.5,3.52,0.02
Amstelveen,4650,5710,80,120,50.0,1.72,2.1,0.38
Amsterdam,35740,40820,1500,1330,-11.33,4.2,3.26,-0.94
Apeldoorn,9090,9120,660,520,-21.21,7.26,5.7,-1.56
Arnhem,7570,8760,430,440,2.33,5.68,5.02,-0.66
Assen,4160,3900,160,190,18.75,3.85,4.87,1.02
Asten,970,890,50,40,-20.0,5.15,4.49,-0.66
Baarle-Nassau,270,320,10,10,0.0,3.7,3.12,-0.58
Baarn,1460,1490,40,40,0.0,2.74,2.68,-0.06
Barendrecht,3280,3160,100,110,10.0,3.05,3.48,0.43
Barneveld,3850,3910,140,170,21.43,3.64,4.35,0.71
Beek (L.),940,660,40,30,-25.0,4.26,4.55,0.29
Beekdaelen,2020,1540,100,60,-40.0,4.95,3.9,-1.05
Beesel,770,620,50,50,0.0,6.49,8.06,1.57
Berg en Dal,3100,3440,170,140,-17.65,5.48,4.07,-1.41
Bergeijk,1120,940,50,40,-20.0,4.46,4.26,-0.2
Bergen (L.),800,540,30,30,0.0,3.75,5.56,1.81
Bergen (NH.),1820,1440,50,50,0.0,2.75,3.47,0.72
Bergen op Zoom,3870,3560,150,100,-33.33,3.88,2.81,-1.07
Berkelland,2720,2200,260,150,-42.31,9.56,6.82,-2.74
Bernheze,2090,1700,70,90,28.57,3.35,5.29,1.94
Best,1980,1620,80,80,0.0,4.04,4.94,0.9
Beuningen,1730,1330,60,50,-16.67,3.47,3.76,0.29
Beverwijk,2180,2090,90,140,55.56,4.13,6.7,2.57
Bladel,1230,1000,50,40,-20.0,4.07,4.0,-0.07
Blaricum,640,770,20,20,0.0,3.12,2.6,-0.52
Bloemendaal,1840,2040,20,30,50.0,1.09,1.47,0.38
Bodegraven-Reeuwijk,2240,2080,40,70,75.0,1.79,3.37,1.58
Boekel,700,600,20,20,0.0,2.86,3.33,0.47
Borger-Odoorn,1670,1240,30,50,66.67,1.8,4.03,2.23
Borne,1370,1370,60,70,16.67,4.38,5.11,0.73
Borsele,1500,1290,60,50,-16.67,4.0,3.88,-0.12
Boxtel,2730,1800,220,120,-45.45,8.06,6.67,-1.39
Breda,9730,10380,400,400,0.0,4.11,3.85,-0.26
Bronckhorst,2400,1810,100,80,-20.0,4.17,4.42,0.25
Brummen,1360,980,110,60,-45.45,8.09,6.12,-1.97
Brunssum,1440,1180,70,70,0.0,4.86,5.93,1.07
Bunnik,960,1070,30,40,33.33,3.12,3.74,0.62
Bunschoten,1360,1360,40,50,25.0,2.94,3.68,0.74
Buren,1680,1430,60,60,0.0,3.57,4.2,0.63
Capelle aan den IJssel,3680,3590,180,170,-5.56,4.89,4.74,-0.15
Castricum,2420,1890,50,60,20.0,2.07,3.17,1.1
Coevorden,2270,1830,40,60,50.0,1.76,3.28,1.52
Cranendonck,970,1000,50,50,0.0,5.15,5.0,-0.15
Culemborg,1920,1700,50,50,0.0,2.6,2.94,0.34
Dalfsen,1770,1620,70,70,0.0,3.95,4.32,0.37
Dantumadiel,1200,1050,50,60,20.0,4.17,5.71,1.54
De Bilt,2930,2960,70,80,14.29,2.39,2.7,0.31
De Fryske Marren,3250,2890,90,80,-11.11,2.77,2.77,0.0
De Ronde Venen,2980,2500,70,70,0.0,2.35,2.8,0.45
De Wolden,1590,1180,60,40,-33.33,3.77,3.39,-0.38
Delft,4290,4350,120,150,25.0,2.8,3.45,0.65
Den Bosch,8320,8060,400,340,-15.0,4.81,4.22,-0.59
Den Haag,26050,30810,880,950,7.95,3.38,3.08,-0.3
Den Helder,3040,2680,140,130,-7.14,4.61,4.85,0.24
Deurne,1840,1580,130,130,0.0,7.07,8.23,1.16
Deventer,5690,5610,370,300,-18.92,6.5,5.35,-1.15
Diemen,1450,1500,30,40,33.33,2.07,2.67,0.6
Dijk en Waard,5300,5120,270,210,-22.22,5.09,4.1,-0.99
Dinkelland,1820,1340,50,40,-20.0,2.75,2.99,0.24
Doesburg,760,500,40,30,-25.0,5.26,6.0,0.74
Doetinchem,3490,3100,170,150,-11.76,4.87,4.84,-0.03
Dongen,1590,1290,50,90,80.0,3.14,6.98,3.84
Dordrecht,6770,6120,250,280,12.0,3.69,4.58,0.89
Drechterland,1360,1130,30,30,0.0,2.21,2.65,0.44
Drimmelen,1580,1380,50,50,0.0,3.16,3.62,0.46
Dronten,2690,2600,190,120,-36.84,7.06,4.62,-2.44
Druten,1290,1050,60,60,0.0,4.65,5.71,1.06
Duiven,2060,1330,60,50,-16.67,2.91,3.76,0.85
Echt-Susteren,1500,1260,60,60,0.0,4.0,4.76,0.76
Edam-Volendam,2300,1960,50,40,-20.0,2.17,2.04,-0.13
Ede,7120,6950,310,330,6.45,4.35,4.75,0.4
Eemnes,660,570,20,20,0.0,3.03,3.51,0.48
Eemsdelta,2730,2270,40,70,75.0,1.47,3.08,1.61
Eersel,1100,960,50,40,-20.0,4.55,4.17,-0.38
Eijsden-Margraten,1520,1170,120,80,-33.33,7.89,6.84,-1.05
Eindhoven,10430,11380,660,550,-16.67,6.33,4.83,-1.5
Elburg,1440,1440,90,40,-55.56,6.25,2.78,-3.47
Emmen,6540,5450,180,260,44.44,2.75,4.77,2.02
Enkhuizen,990,1020,40,50,25.0,4.04,4.9,0.86
Enschede,8290,8040,500,500,0.0,6.03,6.22,0.19
Epe,2010,1690,80,80,0.0,3.98,4.73,0.75
Ermelo,1550,1450,250,130,-48.0,16.13,8.97,-7.16
Etten-Leur,2330,2640,100,90,-10.0,4.29,3.41,-0.88
Geertruidenberg,1170,1130,40,70,75.0,3.42,6.19,2.77
Geldrop-Mierlo,2320,2060,120,120,0.0,5.17,5.83,0.66
Gemert-Bakel,1670,1670,100,90,-10.0,5.99,5.39,-0.6
Gennep,970,910,50,50,0.0,5.15,5.49,0.34
Gilze en Rijen,1630,1520,50,70,40.0,3.07,4.61,1.54
Goeree-Overflakkee,2920,2810,50,30,-40.0,1.71,1.07,-0.64
Goes,2300,2020,110,90,-18.18,4.78,4.46,-0.32
Goirle,1360,1570,60,60,0.0,4.41,3.82,-0.59
Gooise Meren,4150,4450,70,100,42.86,1.69,2.25,0.56
Gorinchem,2270,2080,50,50,0.0,2.2,2.4,0.2
Gouda,4380,4090,120,150,25.0,2.74,3.67,0.93
Groningen,9460,9970,370,280,-24.32,3.91,2.81,-1.1
Gulpen-Wittem,760,590,30,20,-33.33,3.95,3.39,-0.56
Haaksbergen,1560,1300,50,60,20.0,3.21,4.62,1.41
Haarlem,7870,9190,220,330,50.0,2.8,3.59,0.79
Haarlemmermeer,9980,10210,230,350,52.17,2.3,3.43,1.13
Halderberge,1680,1570,50,50,0.0,2.98,3.18,0.2
Hardenberg,3980,3480,150,160,6.67,3.77,4.6,0.83
Harderwijk,2780,2900,120,130,8.33,4.32,4.48,0.16
Hardinxveld-Giessendam,1150,1170,20,30,50.0,1.74,2.56,0.82
Harlingen,1010,890,30,20,-33.33,2.97,2.25,-0.72
Hattem,780,760,30,30,0.0,3.85,3.95,0.1
Heemskerk,2290,2000,90,90,0.0,3.93,4.5,0.57
Heemstede,1800,1940,20,50,150.0,1.11,2.58,1.47
